FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,ODS_Provider,Location,No_5th_Grade,No_6th_Grade,Number_Attending,Days,Days+Nights,Cost_Per_Student,Total_Request,Fall_5th_Grade,Fall_6th_Grade,Percent_5th,Percent_6th
16,-122.5932467,45.42321635,Alder Creek Middle School,Clackamas,North Clackamas SD 12,Clackamas,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,"Camp Westwind, Oregon 4-H Center - Camp Trickle Creek, Cedar Ridge Retreat & Conference Center (Camp Cedar Ridge)",0,289,289,4,4-3,242.6866782,70136.45,0,324,,89.19753086
17,-122.4856854,45.51764796,Alder Elementary School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41050,State House District 50,0,,,,,,,,,,,,,
18,-122.5335541,45.47980149,Alice Ott Middle School,Multnomah,David Douglas SD 40,Multnomah,41026,State Senate District 26,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41051,State House District 51,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc., Camp Howard, Camp Namanu",0,194,194,3,3-2,208.48,40445.12,0,246,,78.86178862
19,-123.348448,42.41059099,Allen Dale Elementary School,Southern OR,Grants Pass SD 7,Josephine,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41003,State House District 3,0,,,,,,,,,,,,,
20,-122.5787899,45.37364305,Alliance Charter Academy,Clackamas,Oregon City SD 62,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41040,State House District 40,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Camp Hancock (Hancock Field Station),0,2,2,3,3-2,180,360,26,30,0,6.666666667
21,-122.853193,45.48411201,Aloha-Huber Park School,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41028,State House District 28,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Camp Magruder - United Methodist,0,61,61,4,4-3,236.24,14410.64,124,66,0,92.42424242
22,-123.5954926,44.38094899,Alsea Charter School,Linn Benton Lincoln,Alsea SD 7J,Benton,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,1,Coast Range Natural Resources Education Organization (CRNREO),Camp Tadmor,0,14,14,5,5-4,355.87,4982.18,13,14,0,100
23,-121.3176076,44.05527509,Amity Creek Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,1,Camp Tamarack,Camp Tamarack,29,0,29,3,3-2,184.05,5337.45,32,0,90.625,
24,-123.2031805,45.12170748,Amity Elementary School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,1,None (school or applying district is provider or school or applying district coordinated multiple providers),LaPine State Campground,74,0,74,4,4-3,271,20054,81,0,91.35802469,
25,-123.20593,45.11378247,Amity Middle School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,0,,,,,,,,,,,,,
26,-116.9870898,44.2361975,Annex Charter School,Malheur,Annex SD 29,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
27,-122.9810596,45.32438751,Antonia Crater Elementary School,Willamette,Newberg SD 29J,Yamhill,41013,State Senate District 13,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41025,State House District 25,1,Twin Rocks Friends Camp,Twin Rocks Friends Camp,76,0,76,3,3-2,197.68,15023.68,77,0,98.7012987,
28,-123.3351237,43.99037261,Applegate Elementary School,Lane,Crow-Applegate-Lorane SD 66,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,0,,,,,,,,,,,,,
29,-123.152596,42.254355,Applegate School,Southern OR,Three Rivers/Josephine County SD,Josephine,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,1,Pacifica: A Garden in the Siskiyous,Pacifica: A Garden in the Siskiyous,0,11,11,3,3-2,550.6036364,6056.64,15,8,0,137.5
30,-122.413128,45.53437698,Arata Creek School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41049,State House District 49,1,Multnomah Education Service District (MESD),Camp Angelos (Sandy River),0,3,3,6,6-5,423.68,1271.04,4,3,0,100
31,-122.843513,45.34977751,Archer Glen Elementary School,Northwest Regional,Sherwood SD 88J,Washington,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
32,-122.818089,45.47645254,Arco Iris Spanish Immersion Schools,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41027,State House District 27,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Cedar Ridge Retreat & Conference Center (Camp Cedar Ridge),0,24,24,4,4-3,219.02375,5256.57,50,29,0,82.75862069
33,-122.624282,45.45781899,Ardenwald Elementary School,Clackamas,North Clackamas SD 12,Clackamas,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,0,,,,,,,,,,,,,
34,-122.5957141,45.48623867,Arleta K-8 School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,1,Multnomah Education Service District (MESD),"Camp Arrah Wanna, Inc., Camp Howard",0,39,39,6,6-5,416.04,16225.56,59,43,0,90.69767442
35,-120.2005324,45.71254733,Arlington Elementary School,North Central,Arlington SD 3,Gilliam,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,1,None (school or applying district is provider or school or applying district coordinated multiple providers),US Forest Service Tupper Guard Camp,0,14,14,5,5-4,218,6104,16,14,0,100
36,-122.8179923,42.27172997,Armadillo Technical Institute,Southern OR,Phoenix-Talent SD 4,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,0,,,,,,,,,,,,,
37,-119.3057726,45.82678387,Armand Larive Middle School,InterMountain,Hermiston SD 8,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,0,,,,,,,,,,,,,
38,-122.522326,45.504387,Arthur Academy,Multnomah,David Douglas SD 40,Multnomah,41024,State Senate District 24,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41047,State House District 47,0,,,,,,,,,,,,,
39,-122.7941699,45.49376767,Arts and Communication Magnet Academy,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
40,-123.115773,44.03561521,Arts and Technology Academy at Jefferson,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,0,,,,,,,,,,,,,
41,-123.2115629,44.8611152,Ash Creek Elementary School,Willamette,Central SD 13J,Polk,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41020,State House District 20,0,,,,,,,,,,,,,
42,-122.688146,42.19244857,Ashland Middle School,Southern OR,Ashland SD 5,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Mountain Lakes Bible Camp,0,166,166,3,3-2,112.9734337,18753.59,0,173,,95.95375723
43,-120.6970172,44.6621623,Ashwood Elementary School,Jefferson,Ashwood SD 8,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,0,,,,,,,,,,,,,
44,-122.7297973,45.57824845,Astor K-8 School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41044,State House District 44,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc.",0,41,41,6,6-5,416.04,17057.64,36,41,0,100
45,-123.8314739,46.17959284,Astoria Middle School,Northwest Regional,Astoria SD 1,Clatsop,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,
46,-118.4874341,45.80935321,Athena Elementary School,InterMountain,Athena-Weston SD 29RJ,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,0,,,,,,,,,,,,,
47,-122.706091,45.37822598,Athey Creek Middle School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,1,Camp Collins (YMCA),Camp Collins - YMCA,0,189,189,4,4-3,125.9835979,23810.9,0,189,,100
48,-122.604683,45.50532254,Atkinson Elementary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,0,,,,,,,,,,,,,
49,-122.971136,44.93639252,Auburn Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41021,State House District 21,0,,,,,,,,,,,,,
50,-122.875899,44.84789199,Aumsville Elementary School,Willamette,Cascade SD 5,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,0,,,,,,,,,,,,,
51,-123.137993,44.12424247,Awbrey Park Elementary School,Lane,Eugene SD 4J,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41013,State House District 13,0,,,,,,,,,,,,,
52,-124.2785076,42.05761552,Azalea Middle School,South Coast,Brookings-Harbor SD 17C,Curry,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41001,State House District 1,0,,,,,,,,,,,,,
53,-117.8356303,44.77711746,Baker Middle School,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
54,-122.6728004,45.25941251,Baker Prairie Middle School,Clackamas,Canby SD 86,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,0,,,,,,,,,,,,,
55,-117.8343713,44.77760881,Baker Web Academy,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Suttle Lake United Methodist Camp,18,19,37,5,5-4,372,13764,97,107,18.55670103,17.75700935
56,-123.1130324,45.61226829,Banks Elementary School,Northwest Regional,Banks SD 13,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Camp Westwind,83,0,83,4,4-3,261.09,21670.47,83,0,100,
57,-123.1144309,45.61340153,Banks Middle School,Northwest Regional,Banks SD 13,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,
58,-120.8247969,44.30747826,Barnes Butte Elementary,High Desert,Crook County SD,Crook,41028,State Senate District 28,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41055,State House District 55,0,,,,,,,,,,,,,
59,-122.818588,45.50614799,Barnes Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
60,-123.0261735,44.86408046,Battle Creek Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,0,,,,,,,,,,,,,
61,-122.6855033,45.5583802,Beach Elementary School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41044,State House District 44,0,,,,,,,,,,,,,
62,-121.2873272,44.05118304,Bear Creek Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,1,Camp Tamarack,Camp Tamarack,92,0,92,3,3-2,182.6,16799.2,105,0,87.61904762,
63,-122.620947,45.54886598,Beaumont Middle School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc., Canby Grove Christian Center, Camp Howard, Camp Namanu",0,181,181,6,6-5,416.04,75303.24,0,197,,91.87817259
64,-122.8519486,45.50454206,Beaver Acres Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
65,-122.517635,45.2884527,Beavercreek Elementary School,Clackamas,Oregon City SD 62,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,0,,,,,,,,,,,,,
66,-122.6714925,42.17593299,Bellview Elementary School,Southern OR,Ashland SD 5,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,0,,,,,,,,,,,,,
67,-121.3088025,44.08789565,Bend International School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,1,Camp Tamarack,Camp Tamarack,19,0,19,3,3-2,186,3534,21,25,90.47619048,0
68,-122.8189922,45.01209628,Bethany Charter School,Willamette,Silver Falls SD 4J,Marion,41009,State Senate District 9,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41018,State House District 18,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Cedar Ridge Retreat & Conference Center (Camp Cedar Ridge),13,13,26,3,3-2,193.96,5042.96,16,14,81.25,92.85714286
69,-122.8560529,45.54331107,Bethany Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
70,-122.631434,45.53691699,Beverly Cleary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc., Camp Howard, Camp Namanu",0,99,99,6,6-5,416.04,41187.96,110,100,0,99
71,-120.5180957,44.82391142,Big Muddy Elementary,Jefferson,Jefferson County SD 509J,Jefferson,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,0,,,,,,,,,,,,,
72,-122.5898587,45.40913442,Bilquist Elementary School,Clackamas,North Clackamas SD 12,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41040,State House District 40,0,,,,,,,,,,,,,
73,-121.6545499,44.44658505,Black Butte Elementary School,Jefferson,Black Butte SD 41,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,0,,,,,,,,,,,,,
74,-123.528954,44.59117999,Blodgett Elementary School,Linn Benton Lincoln,Philomath SD 17J,Benton,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,0,,,,,,,,,,,,,
75,-124.2225435,43.36545468,Blossom Gulch Elementary School,South Coast,Coos Bay SD 9,Coos,41005,State Senate District 5,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41009,State House District 9,0,,,,,,,,,,,,,
76,-122.745372,45.309062,Boeckman Creek Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
77,-123.0756963,43.79337204,Bohemia Elementary School,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Grove Camp Outdoor School ,105,0,105,4,4-0,154.57,16229.85,107,0,98.13084112,
78,-122.672746,45.54739898,Boise-Eliot Elementary School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41043,State House District 43,1,Multnomah Education Service District (MESD),"Camp Arrah Wanna, Inc., Camp Namanu",0,37,37,6,6-5,486.04,17983.48,62,46,0,80.43478261
79,-122.6190434,45.36941304,Bolton Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,0,,,,,,,,,,,,,
80,-121.4062923,42.19953961,Bonanza Elementary School,Southern OR,Klamath County SD,Klamath,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41056,State House District 56,1,Oregon Museum of Science and Industry (OMSI),Coastal Discovery Center at Camp Gray,0,34,34,3,3-2,181.0897059,7397.05,35,41,0,82.92682927
81,-122.7974854,45.53864295,Bonny Slope Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41033,State House District 33,0,,,,,,,,,,,,,
82,-122.795,45.30036301,Boones Ferry Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
83,-122.377264,45.43178182,Boring Middle School,Clackamas,Oregon Trail SD 46,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,0,,,,,,,,,,,,,
84,-122.7804783,43.91722703,Bridge Charter Academy,Lane,Lowell SD 71,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,0,,,,,,,,,,,,,
85,-122.732643,45.37845699,Bridgeport Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,0,,,,,,,,,,,,,
86,-122.5818824,45.51077966,Bridger K-8 School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,1,Multnomah Education Service District (MESD),"Camp Arrah Wanna, Inc., Camp Namanu",0,35,35,6,6-5,416.04,14561.4,68,45,0,77.77777778
87,-122.7242992,45.49235117,Bridlemile Elementary School,Multnomah,Portland SD 1J,Multnomah,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41036,State House District 36,0,,,,,,,,,,,,,
88,-122.990552,44.07237811,Briggs Middle School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,0,,,,,,,,,,,,,
89,-123.9196499,45.99312747,Broadway Middle School,Northwest Regional,Seaside SD 10,Clatsop,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,
90,-123.4397277,43.12399053,Brockway Elementary School,Douglas,Winston-Dillard SD 116,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,0,,,,,,,,,,,,,
91,-117.8212998,44.77707752,Brooklyn Primary School,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
92,-122.9417309,45.51605129,Brookwood Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Camp Magruder - United Methodist,0,65,65,3,3-2,172.2953846,11199.2,40,57,0,114.0350877
93,-120.6016137,43.81340707,Brothers Elementary School,High Desert,Crook County SD,Deschutes,41028,State Senate District 28,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41055,State House District 55,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Suttle Lake United Methodist Camp,0,1,1,5,5-4,327.45,327.45,1,2,0,50
94,-123.0773035,44.97253051,Brush College Elementary School,Willamette,Salem-Keizer SD 24J,Polk,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41020,State House District 20,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Canyonview Camp,41,0,41,3,3-2,123.66,5070.06,51,0,80.39215686,
